"voice","displayText","expectedText","transcript","similarity","semanticIssue","staticIssues","transcriptionError","bytes","durationSeconds","lessons","relativePath"
"cedar","act","act","","","","","","24960","1.56","4","public/audio/tts/library/cedar/act-4147b372ff856a30.mp3"
"marin","action","action","","","","","","19968","1.248","59","public/audio/tts/library/marin/action-c8d5009c6f5c64ea.mp3"
"cedar","action","action","","","","","","23424","1.464","59","public/audio/tts/library/cedar/action-c8d5009c6f5c64ea.mp3"
"marin","active","active","","","","","","16896","1.056","14","public/audio/tts/library/marin/active-45df5ad5e0ecfa54.mp3"
"cedar","active","active","","","","","","19968","1.248","14","public/audio/tts/library/cedar/active-45df5ad5e0ecfa54.mp3"
"marin","activity","activity","","","","","","34560","2.16","102","public/audio/tts/library/marin/activity-ea4fb47769f35d92.mp3"
"cedar","activity","activity","","","","","","23424","1.464","102","public/audio/tts/library/cedar/activity-ea4fb47769f35d92.mp3"
"marin","actor","actor","","","","","","13824","0.864","4","public/audio/tts/library/marin/actor-3497a84f0d54995e.mp3"
"cedar","actor","actor","","","","","","24192","1.512","4","public/audio/tts/library/cedar/actor-3497a84f0d54995e.mp3"
"marin","actress","actress","","","","","","36864","2.304","4","public/audio/tts/library/marin/actress-c8986d685c845ed0.mp3"
"cedar","actress","actress","","","","","","28800","1.8","4","public/audio/tts/library/cedar/actress-c8986d685c845ed0.mp3"
"marin","actually","actually","","","","","","15360","0.96","121","public/audio/tts/library/marin/actually-2390a473c13ac81e.mp3"
"cedar","actually","actually","","","","","","14592","0.912","121","public/audio/tts/library/cedar/actually-2390a473c13ac81e.mp3"
"marin","add","add","","","","","","13824","0.864","78","public/audio/tts/library/marin/add-87623ceab830648b.mp3"
"cedar","add","add","","","","","","16896","1.056","78","public/audio/tts/library/cedar/add-87623ceab830648b.mp3"
"marin","add fuel to the flames","add fuel to the flames","","","","","","35328","2.208","","public/audio/tts/library/marin/add-fuel-to-the-flames-6e107b117bbfad26.mp3"
"cedar","add fuel to the flames","add fuel to the flames","","","","","","46464","2.904","","public/audio/tts/library/cedar/add-fuel-to-the-flames-6e107b117bbfad26.mp3"
"marin","address","address. Address.","","","","","","41088","2.568","83","public/audio/tts/library/marin/address-eb7017ac3d7db31b.mp3"
"cedar","address","address. Address.","","","","","","37632","2.352","83","public/audio/tts/library/cedar/address-eb7017ac3d7db31b.mp3"
"marin","adult","adult","","","","","","16128","1.008","1","public/audio/tts/library/marin/adult-e3999446583a7b06.mp3"
"cedar","adult","adult","","","","","","17664","1.104","1","public/audio/tts/library/cedar/adult-e3999446583a7b06.mp3"
"marin","advertisement","advertisement","","","","","","24192","1.512","9","public/audio/tts/library/marin/advertisement-7c530a9362be3fe2.mp3"
"cedar","advertisement","advertisement","","","","","","24960","1.56","9","public/audio/tts/library/cedar/advertisement-7c530a9362be3fe2.mp3"
"marin","advice","advice","","","","","","14592","0.912","66","public/audio/tts/library/marin/advice-a44cebcde6f72dbe.mp3"
"cedar","advice","advice","","","","","","29568","1.848","66","public/audio/tts/library/cedar/advice-a44cebcde6f72dbe.mp3"
"marin","advise","advise","","","","","","24192","1.512","66","public/audio/tts/library/marin/advise-7c36385f7d2b8796.mp3"
"cedar","advise","advise","","","","","","16896","1.056","66","public/audio/tts/library/cedar/advise-7c36385f7d2b8796.mp3"
"marin","affect","affect","","","","","","27264","1.704","62","public/audio/tts/library/marin/affect-338615e632354d0f.mp3"
"cedar","affect","affect","","","","","","32256","2.016","62","public/audio/tts/library/cedar/affect-338615e632354d0f.mp3"
"marin","afraid","afraid","","","","","","24960","1.56","14","public/audio/tts/library/marin/afraid-19d39e31f475cf22.mp3"
"cedar","afraid","afraid","","","","","","24192","1.512","14","public/audio/tts/library/cedar/afraid-19d39e31f475cf22.mp3"
"marin","after","after","","","","","","13824","0.864","131|133","public/audio/tts/library/marin/after-7b9a72466d3960eb.mp3"
"cedar","after","after","","","","","","21120","1.32","131|133","public/audio/tts/library/cedar/after-7b9a72466d3960eb.mp3"
"marin","after all","after all","","","","","","36096","2.256","","public/audio/tts/library/marin/after-all-c15501f479a4453c.mp3"
"cedar","after all","after all","","","","","","26496","1.656","","public/audio/tts/library/cedar/after-all-c15501f479a4453c.mp3"
"marin","after dark","after dark","","","","","","25728","1.608","","public/audio/tts/library/marin/after-dark-3c4c4e560ee0c56e.mp3"
"cedar","after dark","after dark","","","","","","28032","1.752","","public/audio/tts/library/cedar/after-dark-3c4c4e560ee0c56e.mp3"
"marin","after school","after school","","","","","","22656","1.416","","public/audio/tts/library/marin/after-school-2422eded2404b17c.mp3"
"cedar","after school","after school","","","","","","22656","1.416","","public/audio/tts/library/cedar/after-school-2422eded2404b17c.mp3"
"marin","after work","after work","","","","","","29568","1.848","","public/audio/tts/library/marin/after-work-dc86dc1e6ae5e0a2.mp3"
"cedar","after work","after work","","","","","","22656","1.416","","public/audio/tts/library/cedar/after-work-dc86dc1e6ae5e0a2.mp3"
"marin","afternoon","afternoon","","","","","","18432","1.152","31","public/audio/tts/library/marin/afternoon-d14fc3a4ea42ad2f.mp3"
"cedar","afternoon","afternoon","","","","","","21888","1.368","31","public/audio/tts/library/cedar/afternoon-d14fc3a4ea42ad2f.mp3"
"marin","again","again","","","","","","14592","0.912","120","public/audio/tts/library/marin/again-9252a75c942da16f.mp3"
"cedar","again","again","","","","","","17664","1.104","120","public/audio/tts/library/cedar/again-9252a75c942da16f.mp3"
"marin","against","against","","","","","","24192","1.512","130","public/audio/tts/library/marin/against-0814dacd9de4db7e.mp3"
"cedar","against","against","","","","","","15360","0.96","130","public/audio/tts/library/cedar/against-0814dacd9de4db7e.mp3"
"marin","age","age","","","","","","14592","0.912","17","public/audio/tts/library/marin/age-24bb0d625cd9d0a7.mp3"
"cedar","age","age","","","","","","21888","1.368","17","public/audio/tts/library/cedar/age-24bb0d625cd9d0a7.mp3"
"marin","ago","ago","","","","","","19968","1.248","34","public/audio/tts/library/marin/ago-b0c77b041eb79cc0.mp3"
"cedar","ago","ago","","","","","","33792","2.112","34","public/audio/tts/library/cedar/ago-b0c77b041eb79cc0.mp3"
"marin","agree","agree","","","","","","13824","0.864","115","public/audio/tts/library/marin/agree-cb639537d7abfedf.mp3"
"cedar","agree","agree","","","","","","18432","1.152","115","public/audio/tts/library/cedar/agree-cb639537d7abfedf.mp3"
"marin","agree with","agree with","","","","","","28800","1.8","","public/audio/tts/library/marin/agree-with-51c22455088753f9.mp3"
"cedar","agree with","agree with","","","","","","30720","1.92","","public/audio/tts/library/cedar/agree-with-51c22455088753f9.mp3"
"marin","ahead","ahead","","","","","","21888","1.368","120","public/audio/tts/library/marin/ahead-2c6ae7a63f2218c6.mp3"
"cedar","ahead","ahead","","","","","","24960","1.56","120","public/audio/tts/library/cedar/ahead-2c6ae7a63f2218c6.mp3"
"marin","ahead of","ahead of","","","","","","22656","1.416","","public/audio/tts/library/marin/ahead-of-fb2840b8a6d9d310.mp3"
"cedar","ahead of","ahead of","","","","","","23424","1.464","","public/audio/tts/library/cedar/ahead-of-fb2840b8a6d9d310.mp3"
"marin","aim","aim","","","","","","19968","1.248","63","public/audio/tts/library/marin/aim-1d8c2191730e001a.mp3"
"cedar","aim","aim","","","","","","24192","1.512","63","public/audio/tts/library/cedar/aim-1d8c2191730e001a.mp3"
"marin","air","air","","","","","","13824","0.864","106","public/audio/tts/library/marin/air-939fba7ff04bc648.mp3"
"cedar","air","air","","","","","","19968","1.248","106","public/audio/tts/library/cedar/air-939fba7ff04bc648.mp3"
"marin","air conditioner","air conditioner","","","","","","26496","1.656","69","public/audio/tts/library/marin/air-conditioner-03276c53c4214e5b.mp3"
"cedar","air conditioner","air conditioner","","","","","","32256","2.016","69","public/audio/tts/library/cedar/air-conditioner-03276c53c4214e5b.mp3"
"marin","airline","airline","","","","","","21120","1.32","91","public/audio/tts/library/marin/airline-fc72f21ee83dd4e3.mp3"
"cedar","airline","airline","","","","","","19968","1.248","91","public/audio/tts/library/cedar/airline-fc72f21ee83dd4e3.mp3"
"marin","airplane (plane)","airplane. Or, plane.","","","","","","45696","2.856","91","public/audio/tts/library/marin/airplane-plane-dae6e7d765cda494.mp3"
"cedar","airplane (plane)","airplane. Or, plane.","","","","","","44928","2.808","91","public/audio/tts/library/cedar/airplane-plane-dae6e7d765cda494.mp3"
"marin","airport","airport","","","","","","31488","1.968","91","public/audio/tts/library/marin/airport-0bbc45a52875049e.mp3"
"cedar","airport","airport","","","","","","22656","1.416","91","public/audio/tts/library/cedar/airport-0bbc45a52875049e.mp3"
"marin","alarm clock","alarm clock","","","","","","28800","1.8","35","public/audio/tts/library/marin/alarm-clock-339c127c938a213c.mp3"
"cedar","alarm clock","alarm clock","","","","","","23424","1.464","35","public/audio/tts/library/cedar/alarm-clock-339c127c938a213c.mp3"
"marin","alarm","alarm","","","","","","21120","1.32","109","public/audio/tts/library/marin/alarm-efc486847c1e78a0.mp3"
"cedar","alarm","alarm","","","","","","30720","1.92","109","public/audio/tts/library/cedar/alarm-efc486847c1e78a0.mp3"
"marin","album","album","","","","","","19968","1.248","56","public/audio/tts/library/marin/album-14e52c0907eff242.mp3"
"cedar","album","album","","","","","","18432","1.152","56","public/audio/tts/library/cedar/album-14e52c0907eff242.mp3"
"marin","alike","alike","","","","","","19200","1.2","117","public/audio/tts/library/marin/alike-fae0dc89d98da363.mp3"
"cedar","alike","alike","","","","","","19968","1.248","117","public/audio/tts/library/cedar/alike-fae0dc89d98da363.mp3"
"marin","alive","alive","","","","","","21888","1.368","24","public/audio/tts/library/marin/alive-f22225688f860f7f.mp3"
"cedar","alive","alive","","","","","","24192","1.512","24","public/audio/tts/library/cedar/alive-f22225688f860f7f.mp3"
"marin","all","all","","","","","","14592","0.912","129","public/audio/tts/library/marin/all-722cdd399249d70c.mp3"
"cedar","all","all","","","","","","19200","1.2","129","public/audio/tts/library/cedar/all-722cdd399249d70c.mp3"
"marin","all at once","all at once","","","","","","38400","2.4","","public/audio/tts/library/marin/all-at-once-f11107b46bdc22e8.mp3"
"cedar","all at once","all at once","","","","","","43392","2.712","","public/audio/tts/library/cedar/all-at-once-f11107b46bdc22e8.mp3"
"marin","all but","all but","","","","","","28800","1.8","","public/audio/tts/library/marin/all-but-c93326b3390161b4.mp3"
"cedar","all but","all but","","","","","","24192","1.512","","public/audio/tts/library/cedar/all-but-c93326b3390161b4.mp3"
"marin","all in all","all in all","","","","","","33792","2.112","","public/audio/tts/library/marin/all-in-all-afb9658f603d393f.mp3"
"cedar","all in all","all in all","","","","","","24960","1.56","","public/audio/tts/library/cedar/all-in-all-afb9658f603d393f.mp3"
"marin","all night / all day long","all night long. Or, all day long.","","","","","","72960","4.56","","public/audio/tts/library/marin/all-night-all-day-long-762f9c8c038b6ec7.mp3"
"cedar","all night / all day long","all night long. Or, all day long.","","","","","","55296","3.456","","public/audio/tts/library/cedar/all-night-all-day-long-762f9c8c038b6ec7.mp3"
"marin","all of a sudden","all of a sudden","","","","","","30720","1.92","","public/audio/tts/library/marin/all-of-a-sudden-2a80b97a6b381a96.mp3"
"cedar","all of a sudden","all of a sudden","","","","","","19200","1.2","","public/audio/tts/library/cedar/all-of-a-sudden-2a80b97a6b381a96.mp3"
"marin","All right.","All right.","","","","","","15360","0.96","","public/audio/tts/library/marin/all-right-f522cfac88450893.mp3"
"cedar","All right.","All right.","","","","","","19968","1.248","","public/audio/tts/library/cedar/all-right-f522cfac88450893.mp3"
"marin","All roads lead to Rome.","All roads lead to Rome.","","","","","","53760","3.36","","public/audio/tts/library/marin/all-roads-lead-to-rome-5f3664ee60521280.mp3"
"cedar","All roads lead to Rome.","All roads lead to Rome.","","","","","","31488","1.968","","public/audio/tts/library/cedar/all-roads-lead-to-rome-5f3664ee60521280.mp3"
"marin","all the time","all the time","","","","","","28800","1.8","","public/audio/tts/library/marin/all-the-time-63ce4adc3d0ec4c2.mp3"
"cedar","all the time","all the time","","","","","","21120","1.32","","public/audio/tts/library/cedar/all-the-time-63ce4adc3d0ec4c2.mp3"
"marin","all the way","all the way","","","","","","26496","1.656","","public/audio/tts/library/marin/all-the-way-5688d3f07bb81f34.mp3"
"cedar","all the way","all the way","","","","","","26496","1.656","","public/audio/tts/library/cedar/all-the-way-5688d3f07bb81f34.mp3"
"marin","all thumbs","all thumbs","","","","","","25728","1.608","","public/audio/tts/library/marin/all-thumbs-0a0306e9741a5db1.mp3"
"cedar","all thumbs","all thumbs","","","","","","28032","1.752","","public/audio/tts/library/cedar/all-thumbs-0a0306e9741a5db1.mp3"
"marin","allow","allow","","","","","","10368","0.648","107","public/audio/tts/library/marin/allow-c60215d0b68bde1d.mp3"
"cedar","allow","allow","","","","","","23424","1.464","107","public/audio/tts/library/cedar/allow-c60215d0b68bde1d.mp3"
"marin","almost","almost","","","","","","21120","1.32","119","public/audio/tts/library/marin/almost-f51765ce631c1f83.mp3"
"cedar","almost","almost","","","","","","21120","1.32","119","public/audio/tts/library/cedar/almost-f51765ce631c1f83.mp3"
"marin","alone","alone","","","","","","16128","1.008","121","public/audio/tts/library/marin/alone-c743096592b5348b.mp3"
"cedar","alone","alone","","","","","","28032","1.752","121","public/audio/tts/library/cedar/alone-c743096592b5348b.mp3"
"marin","along","along","","","","","","13056","0.816","132","public/audio/tts/library/marin/along-fd99379851a1c938.mp3"
"cedar","along","along","","","","","","28032","1.752","132","public/audio/tts/library/cedar/along-fd99379851a1c938.mp3"
"marin","along the way","along the way","","","","","","19968","1.248","","public/audio/tts/library/marin/along-the-way-66104814226bfd9a.mp3"
"cedar","along the way","along the way","","","","","","36096","2.256","","public/audio/tts/library/cedar/along-the-way-66104814226bfd9a.mp3"
"marin","aloud","aloud","","","","","","30720","1.92","87|121","public/audio/tts/library/marin/aloud-e771b431bf249e6d.mp3"
"cedar","aloud","aloud","","","","","","15360","0.96","87|121","public/audio/tts/library/cedar/aloud-e771b431bf249e6d.mp3"
"marin","alphabet","alphabet","","","","","","23424","1.464","77","public/audio/tts/library/marin/alphabet-778f1ddb28d4f0e3.mp3"
"cedar","alphabet","alphabet","","","","","","22656","1.416","77","public/audio/tts/library/cedar/alphabet-778f1ddb28d4f0e3.mp3"
"marin","already","already","","","","","","18432","1.152","120","public/audio/tts/library/marin/already-22f39aa0eb1e642b.mp3"
"cedar","already","already","","","","","","19200","1.2","120","public/audio/tts/library/cedar/already-22f39aa0eb1e642b.mp3"
"marin","also","also","","","","","","16896","1.056","120","public/audio/tts/library/marin/also-c0cdfb7c4de8510f.mp3"
"cedar","also","also","","","","","","21120","1.32","120","public/audio/tts/library/cedar/also-c0cdfb7c4de8510f.mp3"
"marin","although","although","","","","","","18432","1.152","133","public/audio/tts/library/marin/although-99d03bab6c9a85bf.mp3"
"cedar","although","although","","","","","","33024","2.064","133","public/audio/tts/library/cedar/although-99d03bab6c9a85bf.mp3"
"marin","although / though","although, or though","","","","","","36096","2.256","","public/audio/tts/library/marin/although-though-819385e764d6a382.mp3"
"cedar","although / though","although, or though","","","","","","40320","2.52","","public/audio/tts/library/cedar/although-though-819385e764d6a382.mp3"
"marin","altogether","altogether","","","","","","19968","1.248","121","public/audio/tts/library/marin/altogether-adf9f29c2c707239.mp3"
"cedar","altogether","altogether","","","","","","24960","1.56","121","public/audio/tts/library/cedar/altogether-adf9f29c2c707239.mp3"
"marin","always","always","","","","","","19200","1.2","118","public/audio/tts/library/marin/always-0565e75d9e5b70dc.mp3"
"cedar","always","always","","","","","","21120","1.32","118","public/audio/tts/library/cedar/always-0565e75d9e5b70dc.mp3"
"marin","am","am","","","","","","16896","1.056","122","public/audio/tts/library/marin/am-2c0d36faf140208f.mp3"
"cedar","am","am","","","","","","14592","0.912","122","public/audio/tts/library/cedar/am-2c0d36faf140208f.mp3"
"marin","ambulance","ambulance","","","","","","19200","1.2","109","public/audio/tts/library/marin/ambulance-0ca9cb7434579f07.mp3"
"cedar","ambulance","ambulance","","","","","","21888","1.368","109","public/audio/tts/library/cedar/ambulance-0ca9cb7434579f07.mp3"
"marin","America","America","","","","","","19968","1.248","89","public/audio/tts/library/marin/america-9572dc1483a04977.mp3"
"cedar","America","America","","","","","","21120","1.32","89","public/audio/tts/library/cedar/america-9572dc1483a04977.mp3"
"marin","American","American","","","","","","39168","2.448","89","public/audio/tts/library/marin/american-48e9f7d867a2dc09.mp3"
"cedar","American","American","","","","","","34560","2.16","89","public/audio/tts/library/cedar/american-48e9f7d867a2dc09.mp3"
"marin","among","among","","","","","","23424","1.464","130","public/audio/tts/library/marin/among-5a3e597bc4365d59.mp3"
"cedar","among","among","","","","","","16896","1.056","130","public/audio/tts/library/cedar/among-5a3e597bc4365d59.mp3"
"marin","amount","amount","","","","","","21120","1.32","98","public/audio/tts/library/marin/amount-ab25233eea4733d0.mp3"
"cedar","amount","amount","","","","","","15360","0.96","98","public/audio/tts/library/cedar/amount-ab25233eea4733d0.mp3"
"marin","an","an","","","","","","19200","1.2","125","public/audio/tts/library/marin/an-50ce2d6d629fa838.mp3"
"cedar","an","an","","","","","","15360","0.96","125","public/audio/tts/library/cedar/an-50ce2d6d629fa838.mp3"
"marin","ancient","ancient","","","","","","15360","0.96","34","public/audio/tts/library/marin/ancient-d7e86677e4d71130.mp3"
"cedar","ancient","ancient","","","","","","16896","1.056","34","public/audio/tts/library/cedar/ancient-d7e86677e4d71130.mp3"
"marin","and","and","","","","","","13056","0.816","133","public/audio/tts/library/marin/and-4e37fb97801e7191.mp3"
"cedar","and","and","","","","","","15360","0.96","133","public/audio/tts/library/cedar/and-4e37fb97801e7191.mp3"
"marin","and so on","and so on","","","","","","26496","1.656","","public/audio/tts/library/marin/and-so-on-51ffa50a977a583f.mp3"
"cedar","and so on","and so on","","","","","","24192","1.512","","public/audio/tts/library/cedar/and-so-on-51ffa50a977a583f.mp3"
"marin","And you?","And you?","","","","","","16896","1.056","","public/audio/tts/library/marin/and-you-795d8701aa706ca3.mp3"
"cedar","And you?","And you?","","","","","","19200","1.2","","public/audio/tts/library/cedar/and-you-795d8701aa706ca3.mp3"
"marin","angel","angel","","","","","","16128","1.008","2","public/audio/tts/library/marin/angel-6e90aca46588438c.mp3"
"cedar","angel","angel","","","","","","21888","1.368","2","public/audio/tts/library/cedar/angel-6e90aca46588438c.mp3"
"marin","anger","anger","","","","","","13824","0.864","22","public/audio/tts/library/marin/anger-fa4df0c507f8a760.mp3"
"cedar","anger","anger","","","","","","21120","1.32","22","public/audio/tts/library/cedar/anger-fa4df0c507f8a760.mp3"
"marin","angle","angle","","","","","","18432","1.152","","public/audio/tts/library/marin/angle-7480999dafeff49e.mp3"
"cedar","angle","angle","","","","","","17664","1.104","","public/audio/tts/library/cedar/angle-7480999dafeff49e.mp3"
"marin","angry","angry","","","","","","19200","1.2","15","public/audio/tts/library/marin/angry-98c7438594498e14.mp3"
"cedar","angry","angry","","","","","","16128","1.008","15","public/audio/tts/library/cedar/angry-98c7438594498e14.mp3"
"marin","animal","animal","","","","","","23424","1.464","110","public/audio/tts/library/marin/animal-39a33f743cb27a4c.mp3"
"cedar","animal","animal","","","","","","16896","1.056","110","public/audio/tts/library/cedar/animal-39a33f743cb27a4c.mp3"
"marin","ankle","ankle","","","","","","16128","1.008","20","public/audio/tts/library/marin/ankle-697824c0079c1558.mp3"
"cedar","ankle","ankle","","","","","","16896","1.056","20","public/audio/tts/library/cedar/ankle-697824c0079c1558.mp3"
"marin","another","another","","","","","","22656","1.416","128","public/audio/tts/library/marin/another-33a7b215065f2ee8.mp3"
"cedar","another","another","","","","","","22656","1.416","128","public/audio/tts/library/cedar/another-33a7b215065f2ee8.mp3"
"marin","answer","answer","","","","","","19968","1.248","75","public/audio/tts/library/marin/answer-6959b4fff6c9960b.mp3"
"cedar","answer","answer","","","","","","17664","1.104","75","public/audio/tts/library/cedar/answer-6959b4fff6c9960b.mp3"
"marin","answer / pick up the phone","answer the phone. Or, pick up the phone.","","","","","","66432","4.152","","public/audio/tts/library/marin/answer-pick-up-the-phone-c25837ef644c9668.mp3"
"cedar","answer / pick up the phone","answer the phone. Or, pick up the phone.","","","","","","52992","3.312","","public/audio/tts/library/cedar/answer-pick-up-the-phone-c25837ef644c9668.mp3"
"marin","ant","ant","","","","","","13824","0.864","113","public/audio/tts/library/marin/ant-f20f7cb935591966.mp3"
"cedar","ant","ant","","","","","","12288","0.768","113","public/audio/tts/library/cedar/ant-f20f7cb935591966.mp3"
"marin","any","any","","","","","","26496","1.656","129","public/audio/tts/library/marin/any-8c1ee007205bc161.mp3"
"cedar","any","any","","","","","","23424","1.464","129","public/audio/tts/library/cedar/any-8c1ee007205bc161.mp3"
"marin","anybody","anybody","","","","","","17664","1.104","127","public/audio/tts/library/marin/anybody-d12d5294d3e8dc16.mp3"
"cedar","anybody","anybody","","","","","","16896","1.056","127","public/audio/tts/library/cedar/anybody-d12d5294d3e8dc16.mp3"
"marin","anyone","anyone","","","","","","16128","1.008","127","public/audio/tts/library/marin/anyone-34c5318f2b6870f2.mp3"
"cedar","anyone","anyone","","","","","","33024","2.064","127","public/audio/tts/library/cedar/anyone-34c5318f2b6870f2.mp3"
"marin","anyone (anybody)","anyone. Or, anybody.","","","","","","41856","2.616","","public/audio/tts/library/marin/anyone-anybody-bc157fe67415038f.mp3"
"cedar","anyone (anybody)","anyone. Or, anybody.","","","","","","48000","3","","public/audio/tts/library/cedar/anyone-anybody-bc157fe67415038f.mp3"
"marin","anything","anything","","","","","","16896","1.056","127","public/audio/tts/library/marin/anything-ce32b18ae7f79e70.mp3"
"cedar","anything","anything","","","","","","19968","1.248","127","public/audio/tts/library/cedar/anything-ce32b18ae7f79e70.mp3"
"marin","Anything else?","Anything else?","","","","","","19200","1.2","","public/audio/tts/library/marin/anything-else-f0e1ca7e0fda8c49.mp3"
"cedar","Anything else?","Anything else?","","","","","","21120","1.32","","public/audio/tts/library/cedar/anything-else-f0e1ca7e0fda8c49.mp3"
"marin","Anything to eat / drink?","Anything to eat, or drink?","","","","","","44928","2.808","","public/audio/tts/library/marin/anything-to-eat-drink-35746e1c806b4818.mp3"
"cedar","Anything to eat / drink?","Anything to eat, or drink?","","","","","","38400","2.4","","public/audio/tts/library/cedar/anything-to-eat-drink-35746e1c806b4818.mp3"
"marin","anywhere","anywhere","","","","","","28800","1.8","120","public/audio/tts/library/marin/anywhere-43018b072d578c1f.mp3"
"cedar","anywhere","anywhere","","","","","","18432","1.152","120","public/audio/tts/library/cedar/anywhere-43018b072d578c1f.mp3"
"marin","apartment","apartment","","","","","","24192","1.512","67","public/audio/tts/library/marin/apartment-b7ad55ee693c5457.mp3"
"cedar","apartment","apartment","","","","","","28032","1.752","67","public/audio/tts/library/cedar/apartment-b7ad55ee693c5457.mp3"
